device_id,timestamp,ax,ay,az,azimuth,pitch,roll,lat,lon,speed
bike_v1,1.76351E+12,0.65122,4.48434,8.3007,-99.00523,-28.30609,4.48589,22.60114,88.43176,0
bike_v1,1.76351E+12,1.72143,4.73573,9.11233,-111.57635,-27.05219,10.6978,22.60114,88.43176,0
bike_v1,1.76351E+12,1.9417,4.63278,8.61673,-114.64699,-27.67691,12.69895,22.60114,88.43176,0
bike_v1,1.76351E+12,1.38145,4.53462,8.15944,-108.49942,-28.72067,9.60948,22.60114,88.43176,0
bike_v1,1.76351E+12,1.403,4.4173,9.36133,-108.81506,-25.01636,8.5236,22.60114,88.43176,0
bike_v1,1.76351E+12,1.44131,4.84108,8.74841,-108.09312,-28.6348,9.35549,22.60114,88.43176,0
bike_v1,1.76351E+12,1.40779,4.7884,8.31267,-107.99354,-29.59441,9.61211,22.60114,88.43176,0
bike_v1,1.76351E+12,1.38385,4.65672,7.66384,-108.33978,-30.87743,10.23552,22.60114,88.43176,0
bike_v1,1.76351E+12,1.26414,4.51546,9.03332,-106.8291,-26.33742,7.96633,22.60114,88.43176,0
bike_v1,1.76351E+12,1.30963,4.83868,8.37252,-106.65059,-29.72554,8.89016,22.60114,88.43176,0
bike_v1,1.76351E+12,1.34794,3.97677,9.08121,-109.8236,-23.42062,8.44284,22.60114,88.43176,0
bike_v1,1.76351E+12,1.23541,4.66869,8.10198,-106.28967,-29.66829,8.66981,22.60114,88.43176,0
bike_v1,1.76351E+12,1.36469,4.39097,9.74679,-108.33997,-24.04411,7.97044,22.60114,88.43176,0
bike_v1,1.76351E+12,1.38385,4.64236,9.41879,-107.82381,-25.99605,8.35834,22.60114,88.43176,0
bike_v1,1.76351E+12,1.36709,4.88417,8.58082,-107.14615,-29.34065,9.05224,22.60114,88.43176,0
bike_v1,1.76351E+12,1.20189,4.56335,7.94157,-106.20979,-29.60291,8.60593,22.60114,88.43176,0
bike_v1,1.76351E+12,1.64482,4.56335,7.56328,-111.8989,-30.52252,12.26929,22.60114,88.43176,0
bike_v1,1.76351E+12,0.99838,4.89614,8.95192,-102.57548,-28.52707,6.36374,22.60114,88.43176,0
bike_v1,1.76351E+12,1.05824,4.89375,8.65743,-103.38071,-29.29633,6.96895,22.60114,88.43176,0
bike_v1,1.76351E+12,1.61848,4.87938,7.90087,-110.37274,-31.17445,11.57679,22.60114,88.43176,0
bike_v1,1.76351E+12,1.46286,4.48913,8.54012,-109.53915,-27.38893,9.72,22.60114,88.43176,0
bike_v1,1.76351E+12,1.08936,4.98473,8.81784,-103.51815,-29.29395,7.04267,22.60114,88.43176,0
bike_v1,1.76351E+12,1.53708,4.84108,8.73165,-109.22083,-28.63599,9.98378,22.60114,88.43176,0
bike_v1,1.76351E+12,1.42694,4.82432,7.9703,-108.24703,-30.78706,10.15028,22.60114,88.43176,0
bike_v1,1.76351E+12,1.26174,4.50828,8.99262,-106.83072,-26.40294,7.98696,22.60114,88.43176,0
bike_v1,1.76351E+12,1.34554,4.65433,8.80348,-107.48119,-27.59259,8.68995,22.60114,88.43176,0
bike_v1,1.76351E+12,1.67594,3.94804,9.44752,-114.21671,-22.36557,10.05933,22.60114,88.43176,0
bike_v1,1.76351E+12,1.64242,4.89854,8.12113,-110.49239,-30.59219,11.43332,22.60114,88.43176,0
bike_v1,1.76351E+12,1.65439,4.41251,9.27993,-111.94775,-25.08475,10.1083,22.60114,88.43176,0
bike_v1,1.76351E+12,1.99916,4.57532,9.02375,-115.37549,-26.3367,12.49178,22.60114,88.43176,0
bike_v1,1.76351E+12,1.65918,4.89854,8.4252,-110.55966,-29.70297,11.14075,22.60114,88.43176,0
bike_v1,1.76351E+12,1.2809,4.06296,7.74764,-108.94012,-27.35657,9.38765,22.60114,88.43176,0
bike_v1,1.76351E+12,1.62087,4.01029,8.11395,-113.59965,-25.85808,11.29693,22.60114,88.43176,0
