device_id,timestamp,ax,ay,az,azimuth,pitch,roll,lat,lon,speed
bike_v1,1763573981531,-0.55306,6.16986,6.85699,-86.7908,-39.45648,-2.21231,22.59609,88.43366,0
bike_v1,1763573981552,1.60651,5.82509,11.03488,-83.71786,-41.88823,-4.61129,22.59609,88.43366,0
bike_v1,1763573981571,0.43335,6.76841,4.88417,-106.71598,-27.58138,8.2832,22.59609,88.43366,0
bike_v1,1763573981591,1.00317,6.38294,8.29112,-95.35629,-54.07863,5.07032,22.59609,88.43366,0
bike_v1,1763573981611,1.24977,8.56885,7.92002,-100.45415,-37.38992,6.89887,22.59609,88.43366,0
bike_v1,1763573981631,1.49877,6.53617,7.29034,-100.82387,-46.90202,8.96729,22.59609,88.43366,0
bike_v1,1763573981651,0.83797,5.19302,5.59764,-105.71456,-41.28914,11.61717,22.59609,88.43366,0
bike_v1,1763573981671,1.68791,5.3247,7.85538,-101.31869,-42.53613,8.51399,22.59609,88.43366,0
bike_v1,1763573981691,1.10852,6.42364,8.78193,-109.8821,-33.53307,12.12695,22.59609,88.43366,0
bike_v1,1763573981711,0.64643,7.58962,8.16662,-101.31072,-35.96849,7.19422,22.59609,88.43366,0
bike_v1,1763573981731,-0.45729,6.69419,5.3247,-96.03437,-42.81351,4.52585,22.59609,88.43366,0
bike_v1,1763573981751,0.30885,7.28556,9.3326,-84.54469,-51.39789,-4.90859,22.59609,88.43366,0
bike_v1,1763573981771,-1.87945,8.43717,8.89446,-92.85838,-37.9624,1.89545,22.59609,88.43366,0
bike_v1,1763573981792,-1.13485,6.62954,5.46836,-74.44527,-42.8642,-11.9314,22.59609,88.43366,0
bike_v1,1763573981810,0.57221,5.19781,10.86728,-76.775,-49.88847,-11.72421,22.59609,88.43366,0
bike_v1,1763573981831,-0.60573,6.53856,4.59926,-96.73302,-25.5309,3.01411,22.59609,88.43366,0
bike_v1,1763573981851,2.229,1.95367,8.78433,-82.18214,-54.64508,-7.5028,22.59609,88.43366,0
bike_v1,1763573981870,-0.40462,5.02782,5.1188,-139.48914,-12.16521,14.23816,22.59609,88.43366,0
bike_v1,1763573981891,2.2697,2.78924,9.92636,-84.18735,-44.39706,-4.5196,22.59609,88.43366,0
bike_v1,1763573981911,-0.31364,4.31914,5.7413,-130.05571,-15.31892,12.8795,22.59609,88.43366,0
bike_v1,1763573981930,2.57616,3.10767,10.76912,-85.15803,-36.9129,-3.12689,22.59609,88.43366,0
bike_v1,1763573981950,0.22027,4.12521,5.64553,-130.63478,-15.677,13.45333,22.59609,88.43366,0
bike_v1,1763573981970,1.67355,4.01029,12.1817,-93.53825,-36.13499,2.23433,22.59609,88.43366,0
bike_v1,1763573981990,-1.18752,6.29196,5.87058,-113.41532,-18.06335,7.82245,22.59609,88.43366,0
bike_v1,1763573982011,0.44532,8.32703,9.55526,-76.15797,-46.41084,-11.4357,22.59609,88.43366,0
bike_v1,1763573982030,-1.50595,10.22324,7.08684,-93.72,-41.04008,2.66833,22.59609,88.43366,0
bike_v1,1763573982051,-0.27054,9.17458,5.29358,-77.62424,-54.67529,-11.9969,22.59609,88.43366,0
bike_v1,1763573982070,-0.01197,8.69574,7.44836,-87.20757,-59.98341,-2.92573,22.59609,88.43366,0
